product,avg_drift,max_abs_drift,avg_vol,avg_spread,avg_spread_to_vol,avg_trend_dom
GALAXY_SOUNDS_SOLAR_FLAMES,277.3333333333333,1345.5,41.562528048559614,14.071533333333335,0.33893210272892604,0.008326633784327164
PANEL_1X2,-99.0,1568.5,34.5597392646203,11.509766666666666,0.3337734466041378,0.012882362527669436
PANEL_4X4,-291.6666666666667,1127.0,37.74861850475808,8.750466666666666,0.23232643896599756,0.008465955255923273
PEBBLES_L,-297.0,1888.5,56.05786649046283,13.0205,0.23236390285305028,0.008044342716042869
PEBBLES_M,229.83333333333334,2039.0,57.017268904407494,13.1209,0.2300819266541556,0.00935264322235394
ROBOT_MOPPING,530.1666666666666,2352.5,40.842845233774796,7.970666666666666,0.19511392026738017,0.011664382455244524
SLEEP_POD_LAMB_WOOL,272.0,404.5,43.048294483890515,9.4001,0.21838644481686312,0.00323111841654289
SNACKPACK_CHOCOLATE,-113.66666666666667,181.5,24.524945003760564,16.471166666666665,0.6726105939828884,0.002176398601903644
SNACKPACK_RASPBERRY,103.16666666666667,239.5,29.574062997324603,16.842466666666667,0.5702647755044845,0.002735030671181382
TRANSLATOR_SPACE_GRAY,-519.6666666666666,1689.5,36.18863975724253,8.402166666666666,0.23229136967900724,0.012800492113718717
UV_VISOR_MAGENTA,501.5,1299.5,41.02113245567775,14.0916,0.34373538860581015,0.006279313354583561
