a,b,slope,intercept,adf_p,ou_hl,wf1_sharpe,wf1_pnl,wf2_sharpe,wf2_pnl
MICROCHIP_CIRCLE,MICROCHIP_OVAL,-0.14257206366391442,10381.067552311206,0.2974291951890705,3120.830878377961,-0.11413441603359938,-77.70676358271339,0.6391789432532223,520.7882475314054
MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,0.09808627707216265,8358.352817733377,0.7744928423330335,6927.558606420966,0.6228345715595697,287.11722350635046,-0.6315919674297523,-504.1974045275674
MICROCHIP_CIRCLE,MICROCHIP_SQUARE,-0.02729056261838261,9585.893613095637,0.7762704864738941,7031.446354258699,1.229623851082625,622.4944074520845,-0.5474699424566896,-439.5516089815883
MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,-0.37914377152437384,12887.420131128401,0.11022661668789252,1895.7472616439932,0.5998231552416905,434.32449730378903,1.0750850909125214,968.9658535152685
MICROCHIP_OVAL,MICROCHIP_RECTANGLE,1.346332330034756,-3577.166700306029,0.8383864591301906,8652.86873152654,1.0589946804142107,1679.0297158282974,-1.2730299606324702,-2293.126679803412
MICROCHIP_OVAL,MICROCHIP_SQUARE,-0.6203878710620967,16613.61567212872,0.9100081895195098,16130.773367735519,1.0922155889820337,1698.0862230374732,-1.243680720738052,-1933.1839923514763
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1.6209796083664458,-7521.843708079244,0.016962390443166837,1058.9020601004743,1.0640523644341557,2710.072733408355,,0.0
MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,-0.36252124265775315,13660.82439733538,0.004452684015810759,755.1984468450124,1.9141021919514285,1396.73194895726,1.3682652282897751,999.4234824540599
MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,0.3054458683689896,5773.771214189612,0.28607543011987735,3068.983689749252,-0.4862841015721841,-587.9393335438008,,0.0
MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,-0.9893798481900349,23178.268439537635,0.3397015579413575,4094.9527174693785,-0.6511135484331736,-1751.1126689118937,,0.0
