product,group,n_trades,tot_qty,mean_qty,median_qty,frac_at_ask,frac_at_bid,frac_between,ic_signed_flow_h1,ic_signed_flow_h5,ic_signed_flow_h20,mean_iat_ticks,cv_iat
GALAXY_SOUNDS_BLACK_HOLES,galaxy_sounds,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0032239447769831643,-0.004777462985284788,-0.0064879979590363925,4092.054794520548,0.9041004600315194
GALAXY_SOUNDS_DARK_MATTER,galaxy_sounds,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0006618372291069791,0.0018199906898126754,-0.0017595056062673145,4092.054794520548,0.9041004600315194
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0003787348294114218,-0.0025008780687631837,-0.0018296118037768173,4092.054794520548,0.9041004600315194
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.006785246166220389,0.0006411439552340273,-0.0012351741805182975,4092.054794520548,0.9041004600315194
GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.005248386053942289,-0.008633158917233626,-0.0007802988766910536,4092.054794520548,0.9041004600315194
MICROCHIP_CIRCLE,microchip,569,1119,1.9666080843585236,2.0,0.5272407732864675,0.4727592267135325,5.551115123125783e-17,0.002115825631556917,0.00025523619536483417,0.002489256349253688,5270.494699646643,0.9606789151875138
MICROCHIP_OVAL,microchip,569,1119,1.9666080843585236,2.0,0.5272407732864675,0.4727592267135325,5.551115123125783e-17,-0.008753643436434392,0.00036622748206863084,-0.0032091768788989135,5270.494699646643,0.9606789151875138
MICROCHIP_RECTANGLE,microchip,569,1119,1.9666080843585236,2.0,0.5272407732864675,0.4727592267135325,5.551115123125783e-17,-0.0008337815632932513,0.005459606109762524,0.008068085294574836,5270.494699646643,0.9606789151875138
MICROCHIP_SQUARE,microchip,569,1119,1.9666080843585236,2.0,0.5272407732864675,0.4727592267135325,5.551115123125783e-17,-0.0006317825655908112,-0.010962480930815274,-0.00633243087953989,5270.494699646643,0.9606789151875138
MICROCHIP_TRIANGLE,microchip,569,1119,1.9666080843585236,2.0,0.5272407732864675,0.4727592267135325,5.551115123125783e-17,-0.004975272388499723,-7.370405721516193e-05,-0.010071770126167277,5270.494699646643,0.9606789151875138
OXYGEN_SHAKE_CHOCOLATE,oxygen_shake,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.006772295491746954,-0.0028417761155858754,0.011445669723726563,4092.054794520548,0.9041004600315194
OXYGEN_SHAKE_EVENING_BREATH,oxygen_shake,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0039052550952619605,-0.00786015776758812,-0.00047509028919587326,4092.054794520548,0.9041004600315194
OXYGEN_SHAKE_GARLIC,oxygen_shake,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.006846096210367292,0.003456861484584725,0.0024190142168533965,4092.054794520548,0.9041004600315194
OXYGEN_SHAKE_MINT,oxygen_shake,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0016045965459799438,0.0017280723390927337,0.0043041697908265866,4092.054794520548,0.9041004600315194
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shake,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,4.8715440406082415e-05,0.003031403884600885,0.0014411089026627503,4092.054794520548,0.9041004600315194
PANEL_1X2,panel,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.003506779923318974,0.011032126666100532,0.004682671420436345,4092.054794520548,0.9041004600315194
PANEL_1X4,panel,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0003075395440241421,-0.004258872724012012,0.005346039209306387,4092.054794520548,0.9041004600315194
PANEL_2X2,panel,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0031047546545066055,-0.0019123241437941393,-0.004297331656359235,4092.054794520548,0.9041004600315194
PANEL_2X4,panel,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0017308386120639522,0.0012181398592218638,0.0023629613622839804,4092.054794520548,0.9041004600315194
PANEL_4X4,panel,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0034610127885475626,-0.0076129060785611585,-0.0034750945273680166,4092.054794520548,0.9041004600315194
PEBBLES_L,pebbles,644,2283,3.5450310559006213,4.0,0.4984472049689441,0.5015527950310559,0.0,0.006533848302218439,0.0024985209590249113,-0.002926248357475139,4639.001560062403,1.040080012681682
PEBBLES_M,pebbles,644,2283,3.5450310559006213,4.0,0.4984472049689441,0.5015527950310559,0.0,0.012680238983316949,0.015694043896268776,0.006182832705647782,4639.001560062403,1.040080012681682
PEBBLES_S,pebbles,644,2283,3.5450310559006213,4.0,0.4984472049689441,0.5015527950310559,0.0,-0.002345187824750672,-0.002040431200415855,0.00042221403771917085,4639.001560062403,1.040080012681682
PEBBLES_XL,pebbles,644,2283,3.5450310559006213,4.0,0.4984472049689441,0.5015527950310559,0.0,-0.006569090462496757,-0.008501670300129627,-0.006449022330130557,4639.001560062403,1.040080012681682
PEBBLES_XS,pebbles,644,2283,3.5450310559006213,4.0,0.4984472049689441,0.5015527950310559,0.0,-0.0037737906069853465,-0.0017774987887318502,0.006762584351428711,4639.001560062403,1.040080012681682
ROBOT_DISHES,robot,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0031196843849483655,0.0100151779402795,0.007711606872152391,4092.054794520548,0.9041004600315194
ROBOT_IRONING,robot,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0008976012321809567,0.0022457833559464376,0.0033442959614958636,4092.054794520548,0.9041004600315194
ROBOT_LAUNDRY,robot,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0056305706183504695,-0.007564266272432596,-0.006099674947630923,4092.054794520548,0.9041004600315194
ROBOT_MOPPING,robot,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.007342212158476528,0.008088667089720262,0.0033760676152112656,4092.054794520548,0.9041004600315194
ROBOT_VACUUMING,robot,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.002576801344966174,-0.000739798095661236,-0.006653038210159785,4092.054794520548,0.9041004600315194
SLEEP_POD_COTTON,sleep_pod,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0016960048236054845,-0.005582656318388564,-0.008595747145702676,4092.054794520548,0.9041004600315194
SLEEP_POD_LAMB_WOOL,sleep_pod,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.00027798183921321266,-0.000819648070419546,0.0019677236898237504,4092.054794520548,0.9041004600315194
SLEEP_POD_NYLON,sleep_pod,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.004643726289242892,-0.0005903912444278334,-0.0013097681469614627,4092.054794520548,0.9041004600315194
SLEEP_POD_POLYESTER,sleep_pod,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.00940741728912394,-0.002937924503888818,-0.0038758244978028484,4092.054794520548,0.9041004600315194
SLEEP_POD_SUEDE,sleep_pod,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0026500555513364822,0.0014562907919082866,-0.012997561388388496,4092.054794520548,0.9041004600315194
SNACKPACK_CHOCOLATE,snackpack,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.007005343475989056,0.004272537911357597,0.0044124209139647175,4092.054794520548,0.9041004600315194
SNACKPACK_PISTACHIO,snackpack,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0026450524210142093,-0.00545400239093316,0.008820861897811188,4092.054794520548,0.9041004600315194
SNACKPACK_RASPBERRY,snackpack,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.001857328552158509,0.00535833462296346,-0.012564013410412526,4092.054794520548,0.9041004600315194
SNACKPACK_STRAWBERRY,snackpack,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.005984481307655712,-0.005386499305674008,0.009979437214466503,4092.054794520548,0.9041004600315194
SNACKPACK_VANILLA,snackpack,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.0025883654442062755,-0.0036007397253807467,-0.0044956419633075,4092.054794520548,0.9041004600315194
TRANSLATOR_ASTRO_BLACK,translator,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.0026036249128775853,-0.002096381260232656,-0.00985745505811782,4092.054794520548,0.9041004600315194
TRANSLATOR_ECLIPSE_CHARCOAL,translator,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.003774015981885179,0.0025204111231578456,-0.006862088298053017,4092.054794520548,0.9041004600315194
TRANSLATOR_GRAPHITE_MIST,translator,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,0.012171186250062757,0.0060160639462483794,-0.004220245777743547,4092.054794520548,0.9041004600315194
TRANSLATOR_SPACE_GRAY,translator,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.006458818722091176,-0.0033820955876876736,-0.007382136962147976,4092.054794520548,0.9041004600315194
TRANSLATOR_VOID_BLUE,translator,733,1805,2.4624829467939975,2.0,0.48840381991814463,0.5115961800818554,0.0,-0.002691383817698241,0.005973245609664459,-0.0045556584092823335,4092.054794520548,0.9041004600315194
