a,b,slope,intercept,adf_p,ou_hl,wf1_sharpe,wf1_pnl,wf2_sharpe,wf2_pnl
UV_VISOR_AMBER,UV_VISOR_MAGENTA,-1.4091713819950105,23570.116807335362,0.02269367203172097,1057.691822744489,0.9824907704568838,618.3440136203972,0.8472376294334618,1170.562050931745
UV_VISOR_AMBER,UV_VISOR_ORANGE,-1.2866756870490454,21327.22829985073,0.6228741414967619,4084.039650595892,-0.13028500785847288,-100.20727103229001,-0.3067763682050753,-284.60970653552795
UV_VISOR_AMBER,UV_VISOR_RED,-0.9983549413757815,18956.79006681181,0.4127601588869776,4095.6513412038803,-0.4051530866872678,-520.1382827461966,,0.0
UV_VISOR_AMBER,UV_VISOR_YELLOW,-0.1740426474019743,9818.761727733225,0.42162883867655593,8406.68017379382,-1.1954729321524742,-945.8327233743094,0.04986913980699163,33.73538697206277
UV_VISOR_MAGENTA,UV_VISOR_ORANGE,0.651199575674477,4322.056475939379,0.2780333787174759,2263.266497642915,0.8870288962952969,769.2254141454196,-0.6012210826255688,-244.47007454232426
UV_VISOR_MAGENTA,UV_VISOR_RED,0.32659644382354786,7498.560558707461,0.2974907649118044,3013.3736673237468,-0.11320603062596368,-136.3541147914666,,0.0
UV_VISOR_MAGENTA,UV_VISOR_YELLOW,0.256077226585229,8305.836740723504,0.3613786911525252,3331.514058603082,0.2969990676736035,333.28617782068795,0.0737086582945549,80.14655583187414
UV_VISOR_ORANGE,UV_VISOR_RED,0.3897394563868544,6114.704189650149,0.749273822680009,5264.968539286,0.18877223738251395,209.0461986677874,0.6350443175648673,371.61925770145444
UV_VISOR_ORANGE,UV_VISOR_YELLOW,-0.014156932404460176,10581.630247828938,0.690156323608001,5550.116092426069,0.019856712898816523,19.868778599124198,0.7860778487912312,666.2701878636944
UV_VISOR_RED,UV_VISOR_YELLOW,-0.38149282919779254,15243.486285674602,0.052579073088911486,1881.8739416451633,-0.09207208409202089,-36.74989569646095,0.0478822939822747,59.45401237221631
