product,fv_id,family,fold,spread_p50,ic_spearman,ic_pvalue,half_life,adf_p,mean_abs_res,std_res,n_ok,res_to_spread
PANEL_1X2,mean_50,rolling_mean,A,11.0,0.007186717021051366,0.4723928729176028,22.267914949079916,6.174644093865746e-26,27.203857000000006,34.22154572909692,10000,2.4730779090909096
PANEL_1X2,mean_50,rolling_mean,B,12.0,0.009392190093801385,0.34769206291249893,22.168170785965497,1.8006573166679022e-26,30.460242024202415,37.980275716466515,9999,2.538353502016868
PANEL_1X2,mean_100,rolling_mean,A,11.0,0.008923323095386557,0.3722650977260246,42.54094490011608,5.200904332155794e-15,37.71278349999999,46.93106724101762,10000,3.428434863636363
PANEL_1X2,mean_100,rolling_mean,B,12.0,0.004940376131933195,0.621338551177406,43.038697291619116,4.641148214943541e-16,42.175177517751784,52.47342635839434,9999,3.5145981264793154
PANEL_1X2,mean_200,rolling_mean,A,11.0,0.0011237993634574056,0.9105332732654997,85.63781586690872,1.7518186232581666e-08,54.77315125,66.84066124639753,10000,4.979377386363637
PANEL_1X2,mean_200,rolling_mean,B,12.0,0.007659838776944521,0.4437589818294118,82.76294373777252,1.4980193192685048e-08,59.42896339633963,72.29451305944795,9999,4.952413616361636
PANEL_1X2,mean_500,rolling_mean,A,11.0,-0.002328039434997366,0.815936005114727,243.48886271689338,0.002271180965132361,94.04666630000001,114.18747850224182,10000,8.549696936363638
PANEL_1X2,mean_500,rolling_mean,B,12.0,0.0008389372466470421,0.9331525911308121,207.9756273736913,0.001073892839118774,96.84374397439744,114.26963436493641,9999,8.070311997866453
PANEL_1X2,mean_1000,rolling_mean,A,11.0,0.00284885202432472,0.7757589353459411,512.8926952357901,0.07496768782458502,132.59204945,167.33318261084693,10000,12.053822677272727
PANEL_1X2,mean_1000,rolling_mean,B,12.0,0.005309190504298675,0.5955366773200416,404.08299524509175,0.04340919158950481,141.6252494249425,158.9143560694438,9999,11.802104118745207
PANEL_1X2,mean_2000,rolling_mean,A,11.0,0.004406598125386589,0.6594976314300581,1117.9027440328243,0.3440762458379584,201.99482310000002,253.64601721843152,10000,18.363165736363637
PANEL_1X2,mean_2000,rolling_mean,B,12.0,0.01558177500254073,0.11923339720016876,532.3597837405022,0.10686169758314618,171.49265511551158,181.97089981954335,9999,14.291054592959298
PANEL_1X2,mean_5000,rolling_mean,A,11.0,0.0009340809364853072,0.9255886207409131,3527.3868109496657,0.7585016080150087,325.25021675,420.65743785833723,10000,29.56820152272727
PANEL_1X2,mean_5000,rolling_mean,B,12.0,0.022637049139575937,0.023598803855207486,486.7312851914634,0.0851636187517889,279.3631669566957,173.08251629029166,9999,23.280263913057976
PANEL_1X2,median_50,rolling_median,A,11.0,0.006912542062069553,0.48945491199125474,23.664034281666634,3.9762633218665775e-27,27.5842,35.65344738587701,10000,2.5076545454545456
PANEL_1X2,median_50,rolling_median,B,12.0,0.010612222481591585,0.28865972899558007,23.351757526022237,7.613833610840911e-28,30.89936493649365,39.487102893513494,9999,2.5749470780411374
PANEL_1X2,median_100,rolling_median,A,11.0,0.008038721228405784,0.42152137435809334,46.39837896186337,1.9422805634612397e-19,38.461975,49.354361970188364,10000,3.4965431818181822
PANEL_1X2,median_100,rolling_median,B,12.0,0.0046314434028261065,0.6433172272326946,45.700360160712215,1.3207242023011479e-17,42.75957595759576,54.430380773560806,9999,3.563297996466313
