i,j,lag,group_i,group_j,peak_rho,fA_ic,fA_sharpe,fA_hit,fA_pnl,fB_ic,fB_sharpe,fB_hit,fB_pnl,decay_minus1,decay_plus1,decay_minus2,decay_plus2,min_fold_sharpe
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,150,microchip,microchip,0.0605798057663661,-0.01106195194816901,-1.1425620395259213,0.46847395674687786,-985.5,0.00702952179184721,0.9517452762922741,0.48248553152604323,896.0,0.9208730791000769,-0.6395990910046859,-1.1295179603094438,-0.3186168428840273,-1.1425620395259213
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,100,microchip,microchip,0.0602444253423473,0.020073026217368374,1.5345309721214642,0.48156379432265883,1333.0,0.01051080781441895,0.5012547619243937,0.47863420547530056,476.0,0.6816325268066542,-1.0969052447159653,0.1274902013223647,-0.30220218291848755,0.5012547619243937
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,200,microchip,microchip,0.0524664833374658,0.0004903237425187608,-0.026793396050267797,0.4759669354015716,-23.0,0.0055907913536674,0.4127023202732577,0.4820900091846107,386.5,0.06502890032452646,-0.472005560066486,-0.5037054001756135,-1.2672466019994686,-0.026793396050267797
MICROCHIP_OVAL,MICROCHIP_CIRCLE,50,microchip,microchip,0.0505350550518008,-0.008044132113288442,-0.2860782554760844,0.47592722886722283,-249.5,-0.007117296138173705,0.055509851277402635,0.4697959593929038,52.5,0.28706248134962814,0.8129019875190151,-0.03756084854224514,0.06509943137716802,-0.2860782554760844
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_MAGENTA,2,galaxy_sounds,uv_visor,0.0264436064928744,-0.018891829177107584,-0.9533504135268058,0.4731419425827748,-1094.5,-0.004633945892307482,-0.003085205370009001,0.4770431129338802,-3.5,-0.869638373664425,-2.266267947878871,,-0.12073432471381848,-0.9533504135268058
MICROCHIP_RECTANGLE,PANEL_1X2,47,microchip,panel,0.0259670885979076,0.01089319633807994,0.8323295930980098,0.47889871382636656,687.5,0.003990634330737589,1.2382003926761722,0.48181270096463025,1137.5,-1.0333353150404476,-0.350973761520778,-0.22807233652692716,-1.2377387367845818,0.8323295930980098
PANEL_1X2,GALAXY_SOUNDS_BLACK_HOLES,90,panel,galaxy_sounds,0.0252510950753255,0.022291005796227916,1.2863660107422215,0.47966495105459683,1398.0,0.0075756756172264865,0.6744579412313376,0.47401352305984457,832.5,-0.5829202560510433,0.94644580754439,-2.154631302669303,1.3284857479735408,0.6744579412313376
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_CHOCOLATE,49,galaxy_sounds,oxygen_shake,0.0250018847083033,0.007267550802917737,-0.2708537066297757,0.4721608040201005,-247.0,0.008477972573030231,1.5482088973957955,0.46492462311557786,1910.5,0.08990554757041953,-1.0710649775237309,0.42041783211050354,1.6790495912149923,-0.2708537066297757
SLEEP_POD_NYLON,OXYGEN_SHAKE_MORNING_BREATH,26,sleep_pod,oxygen_shake,-0.0248868892190733,-0.014478394175945234,-1.3341017868657934,0.4648551087937431,-1320.5,-0.002974892754645622,-0.4537416282838992,0.47448109896721147,-426.5,0.9396295065529355,-1.0284818326968672,1.5637535975258163,1.4385195273340696,-1.3341017868657934
ROBOT_LAUNDRY,SNACKPACK_RASPBERRY,95,robot,snackpack,0.0246897963976474,-0.0007679218113128068,0.5147888479420086,0.4767770597738288,409.0,-0.0037633171953067143,-0.7325991709814181,0.4693053311793215,-575.0,0.6840049170957725,-1.2255736901483865,0.4053973783592995,-0.0496296363300609,-0.7325991709814181
