a,b,slope,intercept,adf_p,ou_hl,wf1_sharpe,wf1_pnl,wf2_sharpe,wf2_pnl
PANEL_1X2,PANEL_1X4,-0.21790416535521137,10970.500977299733,0.3121134037225619,3729.382090191162,0.15475362189254308,132.37281554913352,,0.0
PANEL_1X2,PANEL_2X2,-0.46978118864663965,13421.634811869553,0.13373561740365464,2421.025207078875,0.8702841085901395,786.6220003575472,2.575288039153343,796.6937312153023
PANEL_1X2,PANEL_2X4,0.12095814345688698,7560.090415253296,0.309403958575194,3938.041801807332,0.5505002672179728,463.76403476981613,,0.0
PANEL_1X2,PANEL_4X4,0.3614744284818141,5351.8246156160485,0.546381331755212,4746.9009132483625,0.4121559533700102,369.31867262985725,-0.277448503472824,-153.63139005614903
PANEL_1X4,PANEL_2X2,0.7963313740345864,1771.4348276728742,0.4438764803222056,3762.505636110071,0.6902611602465549,643.2260507502933,,0.0
PANEL_1X4,PANEL_2X4,-0.8033611866964012,18447.744025134914,0.4981181632576807,3753.0454442948944,,0.0,1.0705224291560917,1012.1737113182207
PANEL_1X4,PANEL_4X4,-0.4159001004094089,13506.140951589703,0.6863101356108232,8050.915205701632,0.49852924189464465,376.5269056306988,0.7333088258161141,509.77958608941117
PANEL_2X2,PANEL_2X4,-0.5185217577817693,15417.939434718588,0.4908558571780415,3956.7191128937648,0.570722205739339,521.9619506931977,0.898067099614169,811.764027454763
PANEL_2X2,PANEL_4X4,-0.7294712669356832,16782.840292490615,0.4622853831719257,3508.655882634465,1.1703036639822668,933.280920239973,-0.48425835551513224,-549.3295205462236
PANEL_2X4,PANEL_4X4,-0.2394368402535641,13630.702310296008,0.3417229073059649,3369.498339635077,0.1491642855149919,122.04201776894115,-0.27991174240463645,-314.99958506292023
