product,day,n_ticks,day_drift,day_drift_pct,mean_vol_100,mean_spread,spread_to_vol,trend_dominance,max_up_swing_100,max_dn_swing_100
SLEEP_POD_LAMB_WOOL,2,10000,404.5,4.045,43.81270451510997,9.465,0.2160332283695416,0.004777455606276242,323.0,-336.5
SLEEP_POD_LAMB_WOOL,3,10000,395.5,3.8039819178609213,41.94695048197848,9.2244,0.21990633154519887,0.004732078225859521,336.5,-378.0
SLEEP_POD_LAMB_WOOL,4,10000,16.0,0.14825796886582654,43.385228454583086,9.5109,0.21921977453584887,0.00018382141749290564,294.0,-293.5
UV_VISOR_MAGENTA,2,10000,1299.5,12.995000000000001,38.204612999664334,13.2634,0.3471675004302892,0.015551792435330513,319.0,-298.5
UV_VISOR_MAGENTA,3,10000,254.0,2.242132674228715,41.35927369372209,14.3765,0.34760039807425835,0.0027491260160401763,350.0,-298.0
UV_VISOR_MAGENTA,4,10000,-49.0,-0.42312508095505375,43.49951067364683,14.6349,0.336438267312883,0.0005370216123799921,373.0,-367.0
PANEL_1X2,2,10000,-1568.5,-15.684999999999999,37.42295034736225,11.8891,0.3176954219174224,0.020864232838719545,269.0,-431.5
PANEL_1X2,3,10000,425.0,5.042415613691642,31.268335345935558,10.7469,0.3436991410352437,0.006338175202075939,258.0,-189.5
PANEL_1X2,4,10000,846.5,9.565512175829143,34.98793210056308,11.8933,0.33992577685974745,0.011444679542212819,305.5,-337.5
TRANSLATOR_SPACE_GRAY,2,10000,-507.0,-5.07,38.06159969897848,8.6269,0.22665626427234828,0.006556401867346015,314.0,-330.0
TRANSLATOR_SPACE_GRAY,3,10000,637.5,6.7179514199905155,35.965862826570586,8.5417,0.23749464989032956,0.008361368510102501,272.0,-310.0
TRANSLATOR_SPACE_GRAY,4,10000,-1689.5,-16.697138903987746,34.53845674617852,8.0379,0.2327231948743439,0.02348370596370763,318.5,-308.5
PEBBLES_M,2,10000,-985.5,-9.855,56.92360437333929,12.5074,0.2197225586413843,0.008193484288546998,517.5,-554.5
PEBBLES_M,3,10000,2039.0,22.605321507760532,56.53350058563327,13.017,0.23025285653915406,0.01686322510213871,501.0,-412.0
PEBBLES_M,4,10000,-364.0,-3.2893547804084586,57.59470175424992,13.8383,0.24027036478192842,0.003001220276376109,519.5,-417.5
PEBBLES_L,2,10000,103.0,1.03,57.08822027601077,12.6451,0.2215010371467761,0.0008580115789912116,506.0,-528.5
PEBBLES_L,3,10000,894.5,8.82977148215784,55.30286099096016,13.0568,0.23609628446047795,0.007418526827366858,475.0,-565.5
PEBBLES_L,4,10000,-1888.5,-17.145580825275772,55.78251820441755,13.3596,0.23949438695189673,0.015856489741770535,504.0,-455.5
SNACKPACK_RASPBERRY,2,10000,239.5,2.395,31.062958903037224,16.8385,0.5420764986542731,0.0037048782185646113,270.5,-259.5
SNACKPACK_RASPBERRY,3,10000,-110.0,-1.0741663004736097,29.22213821310851,16.8981,0.5782636395997821,0.0016961697403318325,258.0,-201.0
SNACKPACK_RASPBERRY,4,10000,180.0,1.7785682525566917,28.437091875828077,16.7908,0.5904541882593984,0.002804044054647703,224.5,-233.5
SNACKPACK_CHOCOLATE,2,10000,-84.5,-0.845,25.49747359702659,16.6809,0.6542177575563901,0.001602518514304137,185.0,-263.0
SNACKPACK_CHOCOLATE,3,10000,-75.0,-0.7560102817398316,25.09461502143551,16.5526,0.6596076483285748,0.0014322270175304587,228.0,-254.0
SNACKPACK_CHOCOLATE,4,10000,-181.5,-1.84385635190735,22.982746392819596,16.18,0.7040063760637001,0.003494450273876337,196.5,-181.5
ROBOT_MOPPING,2,10000,-179.5,-1.7950000000000002,40.498171548543084,7.629,0.18837887510194154,0.002133869079107698,340.0,-315.0
ROBOT_MOPPING,3,10000,2352.5,23.969636761933874,40.02317594567832,7.9137,0.19772793670199773,0.026632628224359373,362.5,-275.5
ROBOT_MOPPING,4,10000,-582.5,-4.786359901396878,42.00718820710298,8.3693,0.1992349489982012,0.0062266500622665,347.5,-373.5
PANEL_4X4,2,10000,-321.5,-3.215,40.49065724330663,8.8933,0.2196383216641938,0.003999975116795541,321.0,-362.0
PANEL_4X4,3,10000,573.5,5.9258111179995865,35.16962337059208,8.4874,0.2413275772266854,0.007450906516132804,339.0,-332.0
PANEL_4X4,4,10000,-1127.0,-10.98922529374482,37.58557490037552,8.8707,0.23601341800711345,0.013946984134841472,287.0,-352.5
GALAXY_SOUNDS_SOLAR_FLAMES,2,10000,1345.5,13.455,42.124824939869484,14.0921,0.3345319540227308,0.015176209838876136,362.5,-375.0
GALAXY_SOUNDS_SOLAR_FLAMES,3,10000,-693.5,-6.116329320456851,43.21224224156907,14.2676,0.3301749518166621,0.007744666119458823,319.0,-363.0
GALAXY_SOUNDS_SOLAR_FLAMES,4,10000,180.0,1.691252466409847,39.350516964240285,13.8549,0.3520894023473851,0.002059025394646534,329.5,-287.5
