product,recipe,avg_trend_dom,avg_spread_to_vol
GALAXY_SOUNDS_SOLAR_FLAMES,cap_3,0.008326633784327164,0.33893210272892604
PANEL_1X2,cap_3,0.012882362527669436,0.3337734466041378
PANEL_4X4,cap_3,0.008465955255923273,0.23232643896599756
PEBBLES_L,cap_3,0.008044342716042869,0.23236390285305028
PEBBLES_M,cap_3,0.00935264322235394,0.2300819266541556
ROBOT_MOPPING,cap_3,0.011664382455244524,0.19511392026738017
SLEEP_POD_LAMB_WOOL,cap_3,0.00323111841654289,0.21838644481686312
SNACKPACK_CHOCOLATE,keep_v1,0.002176398601903644,0.6726105939828884
SNACKPACK_RASPBERRY,cap_3,0.002735030671181382,0.5702647755044845
TRANSLATOR_SPACE_GRAY,cap_3,0.012800492113718717,0.23229136967900724
UV_VISOR_MAGENTA,cap_3,0.006279313354583561,0.34373538860581015
