product,fv_id,family,fold,spread_p50,ic_spearman,ic_pvalue,half_life,adf_p,mean_abs_res,std_res,n_ok,res_to_spread
MICROCHIP_CIRCLE,mean_50,rolling_mean,A,8.0,-0.00019968383843960375,0.9840705846891526,22.777931316957623,1.1834874705146407e-24,29.205132,36.51414891663362,10000,3.6506415
MICROCHIP_CIRCLE,mean_50,rolling_mean,B,9.0,0.0058104903383043695,0.5612726391592588,22.96880066661547,9.520314397774812e-25,30.931663166316614,39.71399145606002,9999,3.4368514629240683
MICROCHIP_CIRCLE,mean_100,rolling_mean,A,8.0,0.002551214122503881,0.798653637538139,45.85891963103492,4.417099268540771e-15,40.571667500000004,51.33893479378715,10000,5.0714584375000005
MICROCHIP_CIRCLE,mean_100,rolling_mean,B,9.0,0.0016032137483877973,0.8726499425319322,47.262427047545735,4.298215642626252e-15,44.36471497149714,56.50473746483433,9999,4.929412774610793
MICROCHIP_CIRCLE,mean_200,rolling_mean,A,8.0,0.007432681037150759,0.45736940846625734,88.98071971138194,1.7857118829249845e-08,55.6939755,71.17656403002944,10000,6.9617469375
MICROCHIP_CIRCLE,mean_200,rolling_mean,B,9.0,0.003206097869155671,0.7485480235787341,91.86805271208121,9.111076168677369e-08,63.33191294129413,78.37829715020575,9999,7.036879215699347
MICROCHIP_CIRCLE,mean_500,rolling_mean,A,8.0,0.007843840991943503,0.4328652085055312,200.42873460851183,0.00051971899476784,86.0682437,105.94263863911173,10000,10.7585304625
MICROCHIP_CIRCLE,mean_500,rolling_mean,B,9.0,0.0121144749257562,0.2257881434623482,186.5803024477465,0.0004821488820381455,98.6516408640864,111.10196993143865,9999,10.961293429342934
MICROCHIP_CIRCLE,mean_1000,rolling_mean,A,8.0,0.009530066464418197,0.3406361032209174,362.42632727275196,0.018450952306022797,119.18016954999999,144.8140416149215,10000,14.897521193749999
MICROCHIP_CIRCLE,mean_1000,rolling_mean,B,9.0,0.01932361185903134,0.05333440723726416,264.7040196773902,0.006687772712783806,133.17973657365735,130.79742002719615,9999,14.79774850818415
MICROCHIP_CIRCLE,mean_2000,rolling_mean,A,8.0,0.01234474412556198,0.21706613381882228,662.168692574593,0.12938573557031063,179.801415625,199.7790869263454,10000,22.475176953125
MICROCHIP_CIRCLE,mean_2000,rolling_mean,B,9.0,0.016676746954449293,0.09541526742110504,404.55497141250333,0.053434675134559094,213.91559498449845,159.3649627710711,9999,23.76839944272205
MICROCHIP_CIRCLE,mean_5000,rolling_mean,A,8.0,0.02072897888350948,0.03818517435707058,664.0012168995125,0.15005623088685033,197.01010167,194.74988211590812,10000,24.62626270875
MICROCHIP_CIRCLE,mean_5000,rolling_mean,B,9.0,0.010253194161834678,0.305284436462888,1048.5670169220841,0.2223687387010274,472.6632713971397,314.0506652646405,9999,52.518141266348856
MICROCHIP_CIRCLE,median_50,rolling_median,A,8.0,-0.0009352202362074813,0.9254981251166082,24.07374762864081,7.081740549512528e-26,29.553775,37.97289342378817,10000,3.694221875
MICROCHIP_CIRCLE,median_50,rolling_median,B,9.0,0.006238888377327852,0.5327683202059685,24.160953341915626,9.056303162798305e-26,31.37058705870587,41.051346883114604,9999,3.485620784300652
MICROCHIP_CIRCLE,median_100,rolling_median,A,8.0,0.004353665922857065,0.6633343565208232,49.145312142965274,2.9210426332602688e-15,41.130675,53.60270276949078,10000,5.141334375
MICROCHIP_CIRCLE,median_100,rolling_median,B,9.0,0.0031722667488275035,0.7511131299409565,50.92712321363707,2.0662791209541283e-15,44.777127712771275,59.02697311847585,9999,4.975236412530141
MICROCHIP_CIRCLE,median_200,rolling_median,A,8.0,0.009803717130500282,0.326951519540718,96.38910265973901,2.6888108641946273e-08,56.537725,74.41028829197194,10000,7.067215625
MICROCHIP_CIRCLE,median_200,rolling_median,B,9.0,0.004047187783628454,0.6857350913648799,100.56769994306389,1.8321408573059337e-08,64.49092409240924,82.3211299131994,9999,7.165658232489916
MICROCHIP_CIRCLE,median_500,rolling_median,A,8.0,0.0064621016643886114,0.5181911978899287,238.68122113432148,0.001447257785349661,90.447975,115.78917029992216,10000,11.305996875
MICROCHIP_CIRCLE,median_500,rolling_median,B,9.0,0.012530505940165835,0.21024920887565246,192.46263621863397,0.0006221993530722319,97.95139513951395,113.079391732783,9999,10.883488348834883
MICROCHIP_CIRCLE,median_1000,rolling_median,A,8.0,0.010085743174482811,0.31322701838748573,403.2088087847017,0.029763476298527384,124.332075,152.54254717045134,10000,15.541509375
MICROCHIP_CIRCLE,median_1000,rolling_median,B,9.0,0.018190391548059147,0.06893107135541632,306.62522885182096,0.01412115844056592,134.08218321832183,141.5598303265595,9999,14.898020357591314
MICROCHIP_CIRCLE,median_2000,rolling_median,A,8.0,0.012848461722530086,0.19888365094221844,684.27825066758,0.12750612856292215,184.64755,206.83480968927233,10000,23.08094375
MICROCHIP_CIRCLE,median_2000,rolling_median,B,9.0,0.015957866307533496,0.11057613143752822,465.1584065731899,0.08233851427912292,214.61266126612662,171.60196039186437,9999,23.845851251791846
MICROCHIP_CIRCLE,ewma_10,ewma,A,8.0,0.00129220248298048,0.8971961134816939,9.98446736358561,2.142930645222469e-30,19.541332746624487,24.583041569974533,10000,2.442666593328061
MICROCHIP_CIRCLE,ewma_10,ewma,B,9.0,0.0028760727376600337,0.773685456150313,10.046527899704738,2.092703768141919e-30,21.121272925284497,26.779831308647953,9999,2.346808102809389
MICROCHIP_CIRCLE,ewma_25,ewma,A,8.0,0.002987898663464831,0.7651283754560664,24.711649931504954,3.7807114745212137e-22,29.991086041437597,37.88991006052316,10000,3.7488857551796997
