product,group,ic_lag1,ic_lag2,ic_lag5,ic_lag10,ic_lag50,top_ic_after_lag1,top_lag_after_lag1,sign_switch_lag,sign_switch_ic
GALAXY_SOUNDS_BLACK_HOLES,galaxy_sounds,-0.016479480600506614,-0.0011685538582253338,0.00589899473471835,-0.0006720531781718592,-0.0015427622302605672,-0.016983214652167393,47,-1,
GALAXY_SOUNDS_DARK_MATTER,galaxy_sounds,-0.013418404505830851,-0.002651025298213465,0.0014293799232272498,-0.014821121323839195,0.0028999380713764815,-0.0149568799035915,93,-1,
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,0.0003647006481950786,0.0037832598137211744,0.0018112602090458029,0.0038764908833627465,-0.004290951329062094,0.014172867060946004,6,-1,
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,-0.013628211262444656,-0.0006936868757841573,-0.0003859270448094583,0.010010445914378293,-0.0011379595951960622,-0.018542086761277943,16,-1,
GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,-0.004220326129300537,0.0036716769085740055,0.004681866319425446,0.006487551882054433,0.0011488305217842085,0.018564754550182826,13,-1,
MICROCHIP_CIRCLE,microchip,-0.0059016323142488235,0.013486116597342892,0.0010191183125444904,0.00557102523476105,-0.003585175030172208,-0.020499090543207192,12,-1,
MICROCHIP_OVAL,microchip,-0.002363252276419388,0.0017444164065846958,-0.014958643061938164,0.000798642871558945,0.0029951346017751085,0.014982835088418788,27,-1,
MICROCHIP_RECTANGLE,microchip,-0.007215720235408547,0.0027195445158873376,-0.007619193975519259,0.0033072989921334598,0.000583392554580782,0.011561409185154217,92,-1,
MICROCHIP_SQUARE,microchip,-0.019336688930993707,-0.009424551677306426,0.004804873797501107,0.009398514227875998,-0.006012110409969698,-0.02043755240283782,94,-1,
MICROCHIP_TRIANGLE,microchip,-0.005374194801014676,-0.0013432535537175347,0.0094282988168586,0.004920317793437274,0.004809965280521906,0.015679189253697413,49,-1,
OXYGEN_SHAKE_CHOCOLATE,oxygen_shake,-0.04584948090309713,0.005535767008490422,0.009005012655162075,-5.609474935444403e-05,-0.008199182752789875,-0.020199876947290748,7,-1,
OXYGEN_SHAKE_EVENING_BREATH,oxygen_shake,-0.1443581371680149,0.0027599588838919547,-0.012989387568745393,-0.006197215624185178,0.0036454792795803945,-0.02434250017561739,82,63,0.021163571355097468
OXYGEN_SHAKE_GARLIC,oxygen_shake,-0.006049388038754986,0.004897864288629175,-0.0010457300515594333,0.0035899512288696833,-0.0024453730681646023,0.01413251059818084,75,-1,
OXYGEN_SHAKE_MINT,oxygen_shake,-0.003010302172621826,-0.0022998656468747286,0.0011956173889032882,0.008479447431505577,-0.0009689780167853569,0.015530271943571768,3,-1,
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shake,-0.006620274999052124,-0.0030918116963327825,0.004135683514860605,-0.002119834706492967,-0.0031396219012885217,-0.022096712961585774,6,-1,
PANEL_1X2,panel,-0.0022503259374389074,-0.0008697160265541695,0.01030032094536548,-0.012678789988764321,-0.012418403997296197,-0.01813725648313088,27,-1,
PANEL_1X4,panel,0.00029049772157558067,-0.008479791572120707,-0.006260446878490386,-0.000834901602937134,-0.0021022852968612584,0.013764142110885343,88,-1,
PANEL_2X2,panel,-0.011352373090111723,-0.009392664521983217,-2.989510445243217e-05,0.0014784214501915565,-0.007589162424775011,0.014328598296054321,26,-1,
PANEL_2X4,panel,-0.0011687108911906743,-0.008053614427090206,-0.0030848677589061383,0.0028314340201943886,-0.004225329048063667,0.013854949813658587,75,-1,
PANEL_4X4,panel,-0.00493696523090671,0.002364831539229532,0.001604965823118105,0.006971179815369144,-0.002799342753624317,-0.016291655340344813,19,-1,
PEBBLES_L,pebbles,0.008318640053591031,0.0009381666879595958,-0.008740085684921768,-0.002130327718551279,0.002625954271621463,-0.01226585031648667,7,-1,
PEBBLES_M,pebbles,-0.0030863815594457983,0.006778427458511877,0.00826519330060139,0.010250576008375466,0.008532770083342404,-0.017566088013014423,12,-1,
PEBBLES_S,pebbles,0.007443607605703478,0.002249250202027101,0.0005237533325234409,0.007939597753587217,0.00769689953094415,0.019693904401854086,55,-1,
PEBBLES_XL,pebbles,0.008061975409862763,0.0017466497353968108,0.009912024041151902,0.006777859298260614,0.004600337431568872,-0.016380840167073012,70,-1,
PEBBLES_XS,pebbles,-0.0168837090962863,0.007952797970371546,0.012813310840608156,-0.009575313052831052,-0.0009256140197240555,0.015767492523743026,56,-1,
ROBOT_DISHES,robot,-0.03515133881470098,-0.010091466998261574,-0.0007709094443773028,0.0009393160024482498,-0.002348730149318116,-0.019092591723865494,98,-1,
ROBOT_IRONING,robot,-0.16424004075320597,-0.010501929583697004,0.008903294849817292,0.006089089954909763,-0.0047827756683581175,0.03761492884562965,96,82,0.024341012938847686
