product,group,n_obs,sine_omega,sine_period,sine_A,sine_R2,sine_drift_c,poly1_R2,poly3_R2,poly5_R2,n_distinct_mids,lattice_ratio,gzip_ratio,chi2_symbolic,chi2_p,mod_K_best,mod_K_best_R2,anchor_n_spikes,anchor_revert_frac,rf_train_R2,rf_oos_R2,rf_top_feature
GALAXY_SOUNDS_BLACK_HOLES,galaxy_sounds,30000,0.00020943951023931953,30000.0,512.8712976020563,0.8664146015121459,0.12542558542504362,0.7845398868761153,0.851092303685961,0.8711634930161305,6557,0.21856666666666666,0.20367916666666666,19.424976607124957,0.0006483511491889304,20000,0.29491765837068906,186,0.5645161290322581,0.9933452410758323,-3.4366844492176325,UV_VISOR_MAGENTA
GALAXY_SOUNDS_DARK_MATTER,galaxy_sounds,30000,0.0005291103416572284,11874.999999999998,318.7299300326896,0.4609006048459364,0.0031495322059413686,0.010719288743090472,0.45798556142304037,0.5588898227855275,2907,0.0969,0.19748333333333334,7.339521116773438,0.11899750406735865,20000,0.5648233989551825,177,0.5932203389830508,0.9762016380507026,-14.896351284336356,ROBOT_MOPPING
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,30000,0.00020943951023931953,30000.0,877.3267406083884,0.7033982187177257,0.00669805255195864,0.12211411739521372,0.5904936346139024,0.7869199552033503,5173,0.17243333333333333,0.2026,1.0145817285591356,0.9075769215042322,20000,0.6939695321623209,182,0.6043956043956044,0.9972900503560963,-4.721535435327688,UV_VISOR_AMBER
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,30000,0.00020943951023931953,30000.0,651.1762348856539,0.4545130326284491,0.034977556052230824,0.010663137497034958,0.45512152478078716,0.5526528048968196,3730,0.12433333333333334,0.20230416666666667,5.524538440946754,0.23758093632598887,20000,0.8925085883238714,111,0.5855855855855856,0.9878538983944088,-0.25097867254131145,TRANSLATOR_SPACE_GRAY
GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,30000,0.00020943951023931953,30000.0,597.4962813416583,0.7218209276322769,0.005650626597677016,0.4427050431046041,0.6792206886639545,0.7773374575931804,4204,0.14013333333333333,0.20120416666666666,1.0043753752260094,0.9091318156390904,20000,0.470394551995053,236,0.614406779661017,0.9938769181826811,-1.5488354874575654,PANEL_1X4
MICROCHIP_CIRCLE,microchip,30000,0.00020943951023931953,30000.0,715.4475317508545,0.7420907171284044,0.05448496904944491,0.12425558063198461,0.7931882571010069,0.8938685539982688,4018,0.13393333333333332,0.19364166666666666,2.8542377247118984,0.5825070667839278,20000,0.5312570238097631,149,0.5436241610738255,0.9781987356859215,-2.934912780563964,ROBOT_IRONING
MICROCHIP_OVAL,microchip,30000,0.00020943951023931953,30000.0,650.8151679029879,0.9740893635344351,-0.14253342092232724,0.9115442343268584,0.9714353797238447,0.974470176351327,7522,0.2507333333333333,0.205475,1.7724466333753954,0.7775193623378595,20000,0.10579576225630172,434,0.6728110599078341,0.9967025412433091,-31.061495573639164,MICROCHIP_SQUARE
MICROCHIP_RECTANGLE,microchip,30000,0.00020943951023931953,30000.0,569.3878451697508,0.8197498634931739,-0.048723907270671274,0.5709304583600678,0.7799415182233994,0.8507990541716172,5033,0.16776666666666668,0.208325,37.77807323812604,1.2451147424208386e-07,20000,0.39728731622299884,183,0.546448087431694,0.9971674794450263,-5.725171829854519,SLEEP_POD_SUEDE
MICROCHIP_SQUARE,microchip,30000,0.00020943951023931953,30000.0,1426.0626329753457,0.9360615171883738,0.1212492107265724,0.7023911076389038,0.9301453832900021,0.9412152834601567,8725,0.29083333333333333,0.2226625,13.824439186205758,0.007876975687913346,20000,0.2714462741074424,269,0.6245353159851301,0.9989262003513156,-1.4376589223004874,UV_VISOR_AMBER
MICROCHIP_TRIANGLE,microchip,30000,0.00020943951023931953,30000.0,567.3975911344403,0.8743669073759036,-0.07610421999963243,0.6426993536704328,0.8484396016175798,0.8815396796676773,5145,0.1715,0.21153333333333332,45.65824203514605,2.900993334442603e-09,20000,0.3245582211161132,188,0.6542553191489362,0.9568033091310311,-14.507160413273589,TRANSLATOR_GRAPHITE_MIST
OXYGEN_SHAKE_CHOCOLATE,oxygen_shake,30000,0.00020943951023931953,30000.0,532.5838879183669,0.7532140308339554,0.05331379062871078,0.35414554690934086,0.7787848314821826,0.8776027755292232,3512,0.11706666666666667,0.16092916666666668,2552.2933777271683,0.0,20000,0.4205488975362398,82,0.7926829268292683,0.969554993142606,-2.953796941052764,MICROCHIP_SQUARE
OXYGEN_SHAKE_EVENING_BREATH,oxygen_shake,30000,0.00020943951023931953,30000.0,651.7864623089836,0.6013765481942259,-0.03520607386593085,0.009150402725692008,0.6422953445912629,0.704821520891635,453,0.0151,0.08815416666666667,331.6103878944368,0.0,20000,0.6494242885393664,66,0.696969696969697,0.9921911627221212,-0.19974379684370835,OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_GARLIC,oxygen_shake,30000,0.00020943951023931953,30000.0,711.3697257279915,0.9237363068987866,0.1428599472630961,0.8055350280271989,0.9151289494760508,0.9391628713774768,6343,0.21143333333333333,0.205025,8.71019831593918,0.06876571839642254,20000,0.3530780027380538,232,0.5387931034482759,0.9937791074645664,-17.1523455442697,UV_VISOR_YELLOW
OXYGEN_SHAKE_MINT,oxygen_shake,30000,0.00020943951023931953,30000.0,507.6067307641631,0.43970199406700317,0.004478095137619912,0.12264621780772333,0.3214075050861267,0.6934536382660434,3973,0.13243333333333332,0.19783333333333333,1.0764935889199974,0.8979836017436128,20000,0.6804604197425659,102,0.5980392156862745,0.9811218469270526,-1.1088542389021554,PANEL_1X2
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shake,30000,0.00020943951023931953,30000.0,611.339638913441,0.7287051748351985,-0.017347499097069237,0.555829490626784,0.6983503277550304,0.7702244535566038,4735,0.15783333333333333,0.1987375,3.786072306480138,0.4357312474913766,20000,0.4752895949068989,176,0.6534090909090909,0.9936398018071763,-8.828656006814507,ROBOT_MOPPING
PANEL_1X2,panel,30000,0.00020943951023931953,30000.0,784.5575454947889,0.8590455703954218,-0.007480089267309141,0.0036693476505043066,0.8329957598609065,0.865512427973002,4336,0.14453333333333335,0.19645833333333335,2.986261865134193,0.5601270705361892,20000,0.7188136000101182,237,0.6413502109704642,0.9975579688176176,-3.999584223623618,GALAXY_SOUNDS_PLANETARY_RINGS
PANEL_1X4,panel,30000,0.00020943951023931953,30000.0,972.2599690664792,0.8267215717841099,-0.010511709478511348,0.5314712257018919,0.7730736085409495,0.8883059137049049,5556,0.1852,0.19789166666666666,0.6060464820173636,0.9623894211979399,20000,0.44766702743215614,195,0.6102564102564103,0.9971050276914345,-0.7501052780665463,MICROCHIP_OVAL
PANEL_2X2,panel,30000,0.00020943951023931953,30000.0,636.7593811055402,0.7247729985086042,-0.024630510625597117,0.3602437497504636,0.6132524854275536,0.8312955086268525,4423,0.14743333333333333,0.19494166666666668,1.2443741085072166,0.8707400628319497,20000,0.5759962608674829,104,0.5673076923076923,0.9942197025913296,-34.6216348010528,PANEL_4X4
PANEL_2X4,panel,30000,0.00020943951023931953,30000.0,233.64237688522897,0.8098890327627879,0.07874701534686551,0.7817800114825283,0.8039812715859576,0.8253816764001942,4673,0.15576666666666666,0.20295416666666666,1.0691918345054512,0.8991289506167318,20000,0.38674985960272545,125,0.616,0.9926109604700835,-7.424609656571642,UV_VISOR_MAGENTA
