product,group,f_stat,oos_corr_2to3,oos_corr_2to4,oos_corr_3to4,cross_day_avg_corr,max_abs_mean_ret_d2
GALAXY_SOUNDS_BLACK_HOLES,galaxy_sounds,1.1309231303225649,-0.022069904256890937,0.14969287575784265,0.0030357014208646314,0.04355289097393878,3.915
GALAXY_SOUNDS_DARK_MATTER,galaxy_sounds,0.7881397046058125,0.11504817252306589,-0.05815630810876724,0.06048486573285809,0.03912557671571892,2.72
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,1.0769151152893235,-0.02351845174060357,-0.20483738538333768,0.2278771749285344,-0.00015955406513561607,2.58
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,1.042686508887402,-0.018317802617178806,0.011640892344203412,0.06271078004566569,0.018677956590896765,3.065
GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,1.0426625503162121,-0.05971950431609416,0.0053076694215908205,-0.09344265991993357,-0.049284831604812306,2.435
MICROCHIP_CIRCLE,microchip,0.8923087677714802,-0.11833035733855411,0.12635853497837962,-0.04025854400955262,-0.010743455456575705,3.17
MICROCHIP_OVAL,microchip,0.818703492896431,0.16253256587823822,-0.010480223103009164,0.15604609078061743,0.10269947785194883,3.295
MICROCHIP_RECTANGLE,microchip,0.8656735292727945,0.16114320507351584,0.13099416421735297,-0.010011604621070954,0.09404192155659928,3.43
MICROCHIP_SQUARE,microchip,0.9633229428685436,0.006747829396444777,-0.09445292344474737,-0.06474821309128728,-0.05081776904652996,4.315
MICROCHIP_TRIANGLE,microchip,0.9157492461986811,0.06628205973575291,0.1816238557293777,0.09963833651039651,0.11584808399184238,3.3
OXYGEN_SHAKE_CHOCOLATE,oxygen_shake,0.9677233184177907,0.049117304341602164,-0.07697100599221167,-0.1108158691229841,-0.04622319025786453,2.6
OXYGEN_SHAKE_EVENING_BREATH,oxygen_shake,0.48188999618709877,-0.0776985170209637,-0.042349092977788716,0.05881589143036694,-0.020410572856128493,2.7
OXYGEN_SHAKE_GARLIC,oxygen_shake,0.8971119969320872,-0.05171967109792067,0.2611644849245221,0.035436012707380456,0.08162694217799396,2.855
