product,weight
GALAXY_SOUNDS_BLACK_HOLES,-2.2351006355070272e-05
GALAXY_SOUNDS_DARK_MATTER,-0.0002648996072281055
GALAXY_SOUNDS_PLANETARY_RINGS,-9.434996188596403e-05
GALAXY_SOUNDS_SOLAR_FLAMES,-0.00014731260799066384
GALAXY_SOUNDS_SOLAR_WINDS,8.364305312683029e-05
MICROCHIP_CIRCLE,-0.000312774197353892
MICROCHIP_OVAL,0.00011231912473909299
MICROCHIP_RECTANGLE,6.121243356377795e-05
MICROCHIP_SQUARE,0.00011985479752580974
MICROCHIP_TRIANGLE,-7.069378084785013e-05
OXYGEN_SHAKE_CHOCOLATE,8.533798061998124e-05
OXYGEN_SHAKE_EVENING_BREATH,8.354739378952289e-05
OXYGEN_SHAKE_GARLIC,2.438212488064596e-05
OXYGEN_SHAKE_MINT,0.0003474710121264449
OXYGEN_SHAKE_MORNING_BREATH,2.516512728706223e-05
PANEL_1X2,-0.000159904802148902
PANEL_1X4,-4.646379723163116e-06
PANEL_2X2,-2.3933390899551914e-05
PANEL_2X4,-4.222692211675345e-05
PANEL_4X4,-3.111625682444037e-05
PEBBLES_L,-0.9996913356062065
PEBBLES_M,-0.9998249221624942
PEBBLES_S,-1.0
PEBBLES_XL,-0.9997610585853574
PEBBLES_XS,-0.9997644351376962
ROBOT_DISHES,8.472841920380372e-05
ROBOT_IRONING,-0.00011906037415948665
ROBOT_LAUNDRY,-0.000186296159269832
ROBOT_MOPPING,4.5829639869757715e-05
ROBOT_VACUUMING,3.796257436734616e-05
SLEEP_POD_COTTON,-5.985131662284219e-05
SLEEP_POD_LAMB_WOOL,7.544905535549834e-05
SLEEP_POD_NYLON,4.211250080911714e-05
SLEEP_POD_POLYESTER,1.5463565936976408e-05
SLEEP_POD_SUEDE,7.431478933389372e-05
SNACKPACK_CHOCOLATE,0.0001891235451279097
SNACKPACK_PISTACHIO,-9.453529362794343e-05
SNACKPACK_RASPBERRY,-0.00044331599789919514
SNACKPACK_STRAWBERRY,-0.00029104965102474126
SNACKPACK_VANILLA,0.0002056548435481129
TRANSLATOR_ASTRO_BLACK,9.944720035008786e-05
TRANSLATOR_ECLIPSE_CHARCOAL,-8.061279231296665e-05
TRANSLATOR_GRAPHITE_MIST,6.683949665367653e-05
TRANSLATOR_SPACE_GRAY,-0.00034596297690908233
TRANSLATOR_VOID_BLUE,3.479591184797026e-05
UV_VISOR_AMBER,0.00027103592942470103
UV_VISOR_MAGENTA,7.83944483493024e-05
UV_VISOR_ORANGE,-2.470146551945029e-05
UV_VISOR_RED,-0.00030396709318047976
UV_VISOR_YELLOW,-1.3490614493233905e-05
