members,weights,min_eigval,spread_mean,spread_std,adf_p,ou_half_life,rel_std
"PEBBLES_XS,UV_VISOR_AMBER,SNACKPACK_CHOCOLATE","-0.056,-0.044,1.000",24743.382699992228,9074.507089395727,157.6258725302708,0.006596670242580165,27.130564925324396,0.01737018561751624
"PEBBLES_XS,UV_VISOR_AMBER,SNACKPACK_PISTACHIO","-0.135,0.053,1.000",14126.296275714649,8917.506104924598,120.03054642130722,0.007970246621775914,21.75400403098597,0.013460102522948835
"PEBBLES_XS,UV_VISOR_AMBER,SNACKPACK_RASPBERRY","0.209,-0.306,1.000",24291.153623959162,9205.610640231867,166.14081795963432,0.00032181356855747595,15.731799929923778,0.01804777808367633
"PEBBLES_XS,UV_VISOR_AMBER,SNACKPACK_STRAWBERRY","-0.127,0.515,1.000",22417.07653961413,13842.841261899579,169.42457461004156,0.00029006576075408835,15.120498718154236,0.012239147397894263
"PEBBLES_XS,UV_VISOR_AMBER,SNACKPACK_VANILLA","0.091,-0.068,1.000",27358.10945862876,10227.27497117826,166.3847433707363,0.012880378163994453,29.93314375497539,0.01626872689349111
"SLEEP_POD_POLYESTER,UV_VISOR_AMBER,GALAXY_SOUNDS_BLACK_HOLES","0.959,1.000,0.076",56554.1138963624,20140.045529015155,329.8214894431554,0.001932148121361677,24.477568406803172,0.01637640237545598
"SLEEP_POD_POLYESTER,UV_VISOR_AMBER,GALAXY_SOUNDS_PLANETARY_RINGS","1.000,0.976,-0.008",57350.896021319255,19478.85902323452,334.5253239892034,0.002408332371288432,24.871026598964782,0.017173763801574787
"SLEEP_POD_POLYESTER,UV_VISOR_AMBER,GALAXY_SOUNDS_SOLAR_FLAMES","1.000,0.977,0.171",55162.48343716966,21460.857095932945,330.57563400407577,0.0020492173725079345,23.932608994159267,0.015403654780718114
"SLEEP_POD_POLYESTER,UV_VISOR_AMBER,GALAXY_SOUNDS_SOLAR_WINDS","0.983,1.000,0.109",56603.79448850504,20684.97196442544,334.4509204790251,0.0024377650347877527,24.803108395502388,0.016168787709948198
"SLEEP_POD_POLYESTER,UV_VISOR_AMBER,MICROCHIP_CIRCLE","1.000,0.996,0.313",45728.6088298303,22605.10972969888,308.9787612607395,0.0002551308548611508,18.91613082607925,0.013668536227222965
