product,day,omega,period,r2,A,phi,c,d,model,omega1,period1,A1,phi1,omega2,period2,A2,phi2
MICROCHIP_OVAL,2,0.0011609728948964498,5412.0,0.44816942438969276,303.3645084818217,-0.989029500222227,0.002536118598398676,9729.77518702497,,,,,,,,,
MICROCHIP_OVAL,3,0.0019285406099384856,3258.0,0.8965316584001584,219.17659214659182,-2.085182552783396,-0.19843984337099216,9540.572109019866,,,,,,,,,
MICROCHIP_OVAL,4,0.00020943951023931953,30000.0,0.9490331799882881,1351.1722054574057,-1.6228888568585167,-0.39119326750241035,8792.843961611552,,,,,,,,,
MICROCHIP_OVAL,-1,0.00020943951023931953,30000.0,0.9740893635344351,650.8151679029879,-0.8103436843891302,-0.14253342092232724,10317.528763791113,,,,,,,,,
MICROCHIP_OVAL,2,,,0.6177773080232238,,,0.002536118598398676,9729.77518702497,2sin,0.0011609728948964498,5412.0,303.3645084818217,-0.989029500222227,0.001698617276880126,3699.0,183.14091189280327,1.5749740736065216
MICROCHIP_OVAL,3,,,0.927033169061692,,,-0.19843984337099216,9540.572109019866,2sin,0.0019285406099384856,3258.0,219.17659214659182,-2.085182552783396,0.0011609728948964498,5412.0,177.07932458938132,-2.6146625421146954
MICROCHIP_OVAL,4,,,0.9616045201565903,,,-0.39119326750241035,8792.843961611552,2sin,0.00020943951023931953,30000.0,1351.1722054574057,-1.6228888568585167,0.0011609728948964498,5412.0,90.55880347265787,2.084318983052006
UV_VISOR_AMBER,2,0.0015943124352143076,3941.0,0.926997379705571,124.49149908245815,-0.09926561293053944,-0.13503883070276967,9836.825789952736,,,,,,,,,
UV_VISOR_AMBER,3,0.002647781418954735,2373.0,0.7922190648406324,119.61625679408846,0.9799251959514712,-0.07301084143211845,8032.308524434149,,,,,,,,,
UV_VISOR_AMBER,4,0.00020943951023931953,30000.0,0.5550541809953431,2092.1873164078293,2.4791828850031634,0.35341790044881566,5767.362245520606,,,,,,,,,
UV_VISOR_AMBER,-1,0.00020943951023931953,30000.0,0.9620966628986726,330.717460976774,1.171064211694812,-0.10174328148659526,9437.794600658188,,,,,,,,,
UV_VISOR_AMBER,2,,,0.9598987816967686,,,-0.13503883070276967,9836.825789952736,2sin,0.0015943124352143076,3941.0,124.49149908245815,-0.09926561293053944,0.003204072058735128,1961.0,108.4007910153997,-0.8817756302813019
UV_VISOR_AMBER,3,,,0.8486771587617055,,,-0.07301084143211845,8032.308524434149,2sin,0.002647781418954735,2373.0,119.61625679408846,0.9799251959514712,0.0010896956828268447,5766.0,93.99067023277766,1.3604723611028036
UV_VISOR_AMBER,4,,,0.6575420549418314,,,0.35341790044881566,5767.362245520606,2sin,0.00020943951023931953,30000.0,2092.1873164078293,2.4791828850031634,0.003204072058735128,1961.0,80.23726457257843,1.4510146775664996
OXYGEN_SHAKE_GARLIC,2,0.0008454232114073716,7432.0,0.9606511031073324,449.1176725128926,-2.338671149879273,0.20009900973312347,10147.144181928734,,,,,,,,,
OXYGEN_SHAKE_GARLIC,3,0.0008454232114073716,7432.0,0.7355315902707344,325.1190291403146,0.5943696584631893,0.019907970475091366,11640.680365344459,,,,,,,,,
OXYGEN_SHAKE_GARLIC,4,0.001810194556951768,3471.0,0.9315711274764206,147.69537062026208,-0.26852862862436383,0.235927695434071,11727.73488442209,,,,,,,,,
OXYGEN_SHAKE_GARLIC,-1,0.00026993106101214017,23277.0,0.9278232124397419,511.574430214238,-0.5108371077130701,0.10861862191422199,10257.979408235607,,,,,,,,,
OXYGEN_SHAKE_GARLIC,2,,,0.9681906133855269,,,0.20009900973312347,10147.144181928734,2sin,0.0008454232114073716,7432.0,449.1176725128926,-2.338671149879273,0.0034129197757629473,1841.0,81.020125453992,3.0801543382231023
