fv_id,ic_abs,half_life,mean_abs_res,res_to_spread,adf_p,z_ic,z_hl,z_res,score,product
median_100,0.01698925111689135,43.77285216933845,66.32045950720072,4.924540445569281,1.6199713053475608e-15,1.6048463452492676,-0.23984075968336446,0.2897718608170124,1.6547774463829155,PEBBLES_L
markov_20,0.008982424275183417,0.1376655681660364,12.001268478536044,0.890435460193127,0.0,-0.6938935875279502,1.33859770855523,0.8507963793641327,1.4955005003914126,PEBBLES_L
markov_10,0.008696867926378454,0.13497289383868394,11.993394324315535,0.8898405795975552,0.0,-0.775876100080452,1.3396161473087467,0.8508791096353907,1.4146191568636852,PEBBLES_L
markov_50,0.008469703754955205,0.13502703589168916,12.007103135290684,0.8908650957696198,0.0,-0.8410943647526381,1.3395956455975133,0.850736629780687,1.349237910625562,PEBBLES_L
ofi_lag1,0.008378835672751724,0.1353820409635309,11.986531862168475,0.8893137630109174,0.0,-0.8671823635698409,1.339461241755631,0.8509523742189732,1.3232312524047634,PEBBLES_L
kalman_mle,0.008378371428209751,0.13598999559206565,11.984521070333837,0.8891701869940971,0.0,-0.8673156470151187,1.3392311695579366,0.8509723413903787,1.3228878639331967,PEBBLES_L
microprice_raw,0.008369498991562169,0.139198234544141,11.981479698332096,0.888946712462872,0.0,-0.8698629013552018,1.3380190906357206,0.8510034200786485,1.319159609359167,PEBBLES_L
ar3_dx,0.00834898777201522,0.123609249012294,11.990642672274967,0.8896313111479524,0.0,-0.8757516211158098,1.3439409536181353,0.8509082126784725,1.319097545180798,PEBBLES_L
mid_anchor,0.00834748439351707,0.1359661003494489,11.984520432043205,0.8891701407503387,0.0,-0.8761832373173459,1.3392402100640861,0.850972347821516,1.314029320568256,PEBBLES_L
mean_100,0.01565786247628655,41.084337028701995,65.68503762608759,4.877949263127136,2.669893489736973e-15,1.222608001057551,-0.21322574504295255,0.2962513143247669,1.3056335703393653,PEBBLES_L
lattice_1,0.008285492733134244,0.13541557342046798,11.989945479547956,0.8895848419457331,0.0,-0.893980887752205,1.3394485486415773,0.8509146751681441,1.2963823360575164,PEBBLES_L
ar2_dx,0.008246986490132252,0.12212340009699482,11.986155288249707,0.8892918935897045,0.0,-0.9050359336773672,1.344509672828397,0.8509554156077201,1.2904291547587499,PEBBLES_L
ar1_dx,0.008241151007757597,0.12382101260409739,11.985874832876608,0.8892715842141037,0.0,-0.9067112860518887,1.343859960837813,0.850958240040329,1.2881069148262534,PEBBLES_L
ar5_dx,0.008195415971006795,0.12502771219598835,11.996899556146957,0.8900879143740374,0.0,-0.9198417005574778,1.3433987280194537,0.850844712693715,1.2744017401556909,PEBBLES_L
lattice_2,0.008155906645544931,0.1359056091384251,11.991495764576458,0.8896884337334832,0.0,-0.9311847289446017,1.3392630971084702,0.8509002686187215,1.2589786367825901,PEBBLES_L
lattice_5,0.008066380587514028,0.12601013186577892,12.051898234823483,0.8941990497401389,0.0,-0.9568874359830204,1.3430235861687427,0.8502729755307482,1.2364091257164707,PEBBLES_L
ewma_50,0.014504768657362126,44.05351882922435,67.79815941981857,5.037051913932912,4.490419086593299e-14,0.8915576536224437,-0.24252653464829652,0.27412484801031667,0.9231559669844638,PEBBLES_L
microprice_ewma25,0.012098869294928951,22.903290485233384,49.36988259165258,3.664351720957797,6.50223143102477e-23,0.20082997235680625,0.02988621675304998,0.46502678726701024,0.6957429763768664,PEBBLES_L
ewma_25,0.012098100861914776,22.902669844530053,49.36969075295785,3.6643389814819347,6.499072007117658e-23,0.20060935716301354,0.029897376117051244,0.46502855895077605,0.6955352922308409,PEBBLES_L
ewma_100,0.015343564563796742,83.46190554824176,92.85153345936635,6.901578837245595,5.353891237347557e-08,1.1323738575557383,-0.5126247033404296,0.014824377828798965,0.6345735320441076,PEBBLES_L
microprice_ewma100,0.015342809069163148,83.46414544295959,92.85250711170514,6.901647694226187,5.355363052486372e-08,1.1321569569386054,-0.5126361009089596,0.014814801862252414,0.6343356578918982,PEBBLES_L
median_200,0.014795055416931683,85.92433554525172,91.55713098184819,6.806950633318826,8.76237994479933e-08,0.9748982552579225,-0.5249756163277087,0.027984358231253486,0.4779069971614673,PEBBLES_L
ewma_200,0.01638840218285182,151.38171191544822,124.00886451683878,9.216351751612581,0.00011866998122302397,1.4323441211411374,-0.7662356771266134,-0.307091974010409,0.35901647000411496,PEBBLES_L
mean_200,0.013612173070729225,80.55777933246878,91.13264009570958,6.774531616726508,2.6743457822160592e-08,0.635295696248069,-0.4975870024863376,0.032492883230332247,0.1702015769920637,PEBBLES_L
holt,0.008920591235175244,12.970700529085637,38.08566767998191,2.8222002566819766,2.0146114393843882e-29,-0.7116456984505187,0.26070388103193165,0.5821451125217606,0.13120329510317352,PEBBLES_L
rangemid_500,0.01600884334089294,164.56111600061854,133.41996404265427,9.915461923376405,0.00018056884839401464,1.3233737282378435,-0.8018871033967118,-0.404317492172927,0.11716913266820472,PEBBLES_L
ewma_10,0.007706829136151748,9.680079237876097,32.91151651072984,2.4397102545901346,1.1024027159993356e-30,-1.0601137571554882,0.3761364200129916,0.6353381429586356,-0.04863919418386109,PEBBLES_L
mean_500,0.015665650609505977,187.0839690079203,135.96319255471548,10.109179387974184,0.0006875849413758642,1.2248439545991,-0.8567053614817669,-0.431257853840288,-0.06311926072295498,PEBBLES_L
median_500,0.015726956478508834,206.4619012414851,138.5302965609061,10.299909575779008,0.001399139824276944,1.242444716046367,-0.8988497366905103,-0.45778277378498444,-0.11418779442912774,PEBBLES_L
mean_50,0.008406943954304974,21.867709303175587,48.70837014491449,3.610333697164222,8.376908562833405e-25,-0.8591125463344256,0.04892151642458956,0.4725390944334117,-0.33765193547642436,PEBBLES_L
rangemid_200,0.011020241347910806,74.80470328494565,92.24915942094209,6.856560563034325,1.210951404368722e-08,-0.10884140975731231,-0.46614763822015226,0.02108508638912544,-0.5539039615883391,PEBBLES_L
linreg_200,0.008504935536002659,32.855862303338924,59.69749204270226,4.430355081823147,1.9872569748580465e-18,-0.8309794086535787,-0.1197202361784229,0.3584984077893284,-0.5922012370426731,PEBBLES_L
median_1000,0.01632791120347471,364.5751300959396,185.6539163178818,13.79803104193661,0.03094906866170487,1.4149773124644924,-1.1423332885676265,-0.944267859940327,-0.6716238360434611,PEBBLES_L
mean_1000,0.01576130537136941,317.56338820850476,180.71723368375336,13.433038099114253,0.018122567046069314,1.2523061971582092,-1.0831732407154846,-0.8935081522078034,-0.7243751957650788,PEBBLES_L
rangemid_1000,0.01533055349992991,273.5929082683911,176.62423597609762,13.133953531259719,0.008289734974361224,1.1286384137063965,-1.019336499195792,-0.8519143473133536,-0.7426124328027491,PEBBLES_L
linreg_2000,0.015016608956459605,292.50620688674604,169.50322844632117,12.645911706784638,0.01580398319497022,1.0385057215650535,-1.0479640987484218,-0.7840421846900351,-0.7935005618734033,PEBBLES_L
median_50,0.00664962495749291,23.19138783518898,49.547971722172214,3.6721394636716416,1.0016657707546422e-25,-1.3636344290304925,0.024737148247314756,0.46394374291827817,-0.8749535378648996,PEBBLES_L
ewma_500,0.01523750703015507,324.95250812324366,200.243169681529,14.873813119485693,0.01684739218212495,1.1019250052733314,-1.0930283023795935,-1.093877283667885,-1.084980580774147,PEBBLES_L
quad_500,0.006128239496462004,53.59878609089819,76.03286837031354,5.644738572542668,1.9571704403483234e-12,-1.5133228890578792,-0.3251142580581643,0.18961363268252396,-1.6488235144335195,PEBBLES_L
linreg_500,0.007290795293418327,86.67095060193785,95.69791708952005,7.1197709273758125,9.735885750801041e-08,-1.1795560314277855,-0.5286513845018875,-0.015519679343694515,-1.7237270952733676,PEBBLES_L
mean_2000,0.013937445278159124,543.3265104973863,270.4655049708934,20.10011324537975,0.09722509191107694,0.7286805323415405,-1.313421003330295,-1.8207008349987062,-2.405441305987461,PEBBLES_L
quad_2000,0.007009094083335023,197.78540501626327,142.37408231411354,10.589702188402134,0.0009744617388632746,-1.2604317433086765,-0.8804885320230491,-0.49808434292231857,-2.6390046182540443,PEBBLES_L
ewma_1000,0.014169081645740229,619.2534380950185,303.0143507550264,22.46931236050682,0.134759256312117,0.7951827533298199,-1.369541852272707,-2.1501862593306886,-2.7245453582735757,PEBBLES_L
median_2000,0.012665892004126902,596.5155530119621,267.99232065331535,19.9165437142478,0.12765695945959254,0.3636207720323013,-1.3534903061913475,-1.7951717503079123,-2.7850412844669585,PEBBLES_L
mean_5000,0.011491376754634361,1440.4964032339553,489.44496156657067,36.25830931991989,0.46356220110330926,0.026420385532075267,-1.7319833377677856,-4.067827324311821,-5.773390276547532,PEBBLES_L
