a,b,ret_corr,price_corr
SNACKPACK_STRAWBERRY,UV_VISOR_MAGENTA,0.021086618425358923,0.7608468838501626
SNACKPACK_PISTACHIO,UV_VISOR_AMBER,0.019269279638172942,0.7220985659445502
PEBBLES_XS,TRANSLATOR_VOID_BLUE,-0.018006812183055766,-0.8315898594636075
MICROCHIP_OVAL,ROBOT_IRONING,0.017665758744429452,0.8823250697613839
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0.017093909919652008,0.7680734649521075
OXYGEN_SHAKE_GARLIC,SLEEP_POD_POLYESTER,0.016828611413351326,0.739930341746005
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,0.016325995443109313,0.8853271795478015
ROBOT_IRONING,UV_VISOR_AMBER,0.015189132284119257,0.7978815397948072
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,0.014353295447355481,0.8582018081201666
SLEEP_POD_SUEDE,UV_VISOR_AMBER,0.014290670047517355,-0.8909262809414851
SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,0.013960818089577706,-0.8936286230056407
TRANSLATOR_ASTRO_BLACK,UV_VISOR_MAGENTA,0.013480665310994896,-0.713796495551614
PANEL_2X4,UV_VISOR_MAGENTA,0.012938243662505101,0.7437802350724567
GALAXY_SOUNDS_SOLAR_WINDS,OXYGEN_SHAKE_MORNING_BREATH,0.012885212229523834,-0.7674202365289065
GALAXY_SOUNDS_SOLAR_WINDS,ROBOT_LAUNDRY,0.012789397680126111,-0.7328525450809075
SLEEP_POD_COTTON,UV_VISOR_MAGENTA,0.012633342355867553,0.7500784992287248
MICROCHIP_OVAL,ROBOT_LAUNDRY,0.01234205070047068,0.8618805243307176
SNACKPACK_STRAWBERRY,TRANSLATOR_VOID_BLUE,0.012324930888924734,0.8037969997139928
PANEL_1X4,ROBOT_VACUUMING,0.01108497992545028,0.8011146224505525
SLEEP_POD_COTTON,UV_VISOR_AMBER,0.010689082863667439,-0.8303442504606434
PANEL_2X4,ROBOT_DISHES,0.010418249722701375,0.7902080569616969
MICROCHIP_OVAL,OXYGEN_SHAKE_MORNING_BREATH,-0.010379320368760244,0.750566079639295
PEBBLES_XS,ROBOT_VACUUMING,-0.01033990942395441,0.8519409506156891
ROBOT_LAUNDRY,UV_VISOR_RED,0.010243468375675472,-0.8008478558209796
OXYGEN_SHAKE_MORNING_BREATH,PANEL_1X4,0.010112467471527503,0.8105477188395908
PANEL_1X2,UV_VISOR_YELLOW,0.01000986743291807,-0.730391270167031
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_POLYESTER,0.009589052290199001,0.7683136709905268
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_STRAWBERRY,0.009576001749912988,0.735595927646439
MICROCHIP_SQUARE,SLEEP_POD_POLYESTER,0.009450603871303675,0.8793993760667139
MICROCHIP_RECTANGLE,SLEEP_POD_POLYESTER,0.009440508433010092,-0.7587253658740248
OXYGEN_SHAKE_CHOCOLATE,SLEEP_POD_NYLON,0.00939293678118967,0.7507323629390209
OXYGEN_SHAKE_MINT,PANEL_2X2,0.00936488293428888,0.7666576403261088
PEBBLES_XL,TRANSLATOR_VOID_BLUE,0.009340868897751459,0.80936933351071
PEBBLES_XS,UV_VISOR_MAGENTA,-0.009048013374363725,-0.8456362211136017
OXYGEN_SHAKE_GARLIC,UV_VISOR_AMBER,0.008987023309712988,-0.8222009772221798
MICROCHIP_TRIANGLE,ROBOT_DISHES,-0.008946308176661541,-0.7938637038695279
MICROCHIP_OVAL,ROBOT_MOPPING,0.00891862590792637,-0.7268144889318708
MICROCHIP_OVAL,SLEEP_POD_COTTON,-0.008834994615078362,-0.7841495777114258
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,-0.008770572569754043,0.8121814965157859
PANEL_2X4,UV_VISOR_AMBER,0.008720817331610621,-0.8106920449084077
MICROCHIP_SQUARE,PEBBLES_XS,0.00866037118226703,-0.9137680533902138
MICROCHIP_RECTANGLE,ROBOT_VACUUMING,0.008123776666646699,0.7185810708095899
SLEEP_POD_COTTON,SNACKPACK_STRAWBERRY,0.008018214532014671,0.7470334409680185
PANEL_1X4,PEBBLES_M,0.007915421622707397,-0.7998101447914866
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_COTTON,0.007885387137637836,0.7077332233704652
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,0.0078428897644723,-0.8418525444606354
OXYGEN_SHAKE_GARLIC,SNACKPACK_PISTACHIO,0.007769786990604934,-0.756486504378544
ROBOT_LAUNDRY,UV_VISOR_AMBER,0.00710943221770603,0.7238418528468515
PANEL_2X4,SNACKPACK_STRAWBERRY,0.007072091293914524,0.7566473112899228
