bin,mean_ret,vol,mean_mid
0,0.6137123745819398,10.252292881418773,10650.753333333334
1,-0.26166666666666666,10.619791135804698,10720.896666666667
2,-0.46166666666666667,10.294949433338932,10612.778333333334
3,-0.21666666666666667,10.042954012967375,10582.115
4,1.14,10.783227406998181,10666.65
5,-0.13666666666666666,11.125822906195403,10695.388333333334
6,0.125,10.645560963492,10697.335
7,1.1466666666666667,10.497259821882851,10746.626666666667
8,1.02,10.68919061419629,10849.923333333334
9,0.26666666666666666,10.819925671062315,10896.985
10,0.5333333333333333,11.24189290448047,10963.371666666666
11,-0.26666666666666666,10.935913446006728,10970.481666666667
12,0.9916666666666667,12.16507545221494,11035.541666666666
13,0.86,12.001340504837096,11133.068333333333
14,-0.3233333333333333,10.36775885301817,11134.855
15,-0.9516666666666667,11.098833764198227,11047.085
16,0.2833333333333333,11.091730124107885,11047.918333333333
17,0.48333333333333334,11.541682010622921,11083.393333333333
18,-0.3933333333333333,11.069571216263464,11065.586666666666
19,0.42833333333333334,11.009984700226415,11069.268333333333
20,-0.26,10.933092351261104,11108.62
21,-0.775,11.307434216561813,11033.051666666666
22,-0.03166666666666667,10.882459447860885,10991.958333333334
23,0.23,11.164119245530662,11029.196666666667
24,0.6216666666666667,11.104973300082296,11089.481666666667
25,0.4533333333333333,9.963033121771062,11096.966666666667
26,0.37166666666666665,10.92109265465047,11183.948333333334
27,-0.68,10.86089915406559,11146.055
28,-0.075,11.505642428491667,11112.203333333333
29,0.44666666666666666,11.293314485235515,11137.355
30,0.39666666666666667,10.997688517653454,11158.76
31,0.18,11.474529012273738,11181.581666666667
32,0.14666666666666667,11.560593119145906,11228.186666666666
33,0.29,10.496180225734676,11248.903333333334
34,-0.8483333333333334,11.184504505146439,11176.915
35,-0.5516666666666666,10.855534963943521,11107.535
36,0.008333333333333333,11.36704871741279,11108.655
37,-0.06333333333333334,11.481233293889549,11132.451666666666
38,-0.455,10.798030679488917,11078.513333333334
39,0.2816666666666667,10.904334563057908,11088.698333333334
40,0.815,11.616716489898899,11128.828333333333
41,0.0016666666666666668,11.174692077741112,11173.66
42,-0.06666666666666667,10.185842799395749,11172.198333333334
43,0.48333333333333334,11.234043558359826,11184.783333333333
44,0.285,11.024582216278231,11240.698333333334
45,0.345,10.705161212640789,11248.261666666667
46,-0.6283333333333333,9.924263224915672,11240.6
47,0.07333333333333333,12.068420698226706,11196.021666666667
48,-0.7766666666666666,11.16530349921821,11175.653333333334
49,1.2833333333333334,9.996557378432334,11171.515
50,0.675,10.82145498349765,11285.986666666666
51,-0.265,10.61923579624829,11303.011666666667
52,-1.065,11.690973921682408,11257.813333333334
53,0.415,11.86089701187989,11200.181666666667
54,-0.415,11.608954924891412,11229.466666666667
55,-0.6516666666666666,11.13858417455293,11134.528333333334
56,0.5716666666666667,11.96604856597056,11133.945
57,-0.295,9.649742662103275,11180.248333333333
58,-0.09833333333333333,11.287271839294739,11174.925
59,0.31166666666666665,11.987397111993259,11164.421666666667
60,-0.505,10.617197902664703,11146.498333333333
61,-0.30333333333333334,10.735867534949476,11129.578333333333
62,-0.995,10.915338920336804,11042.173333333334
63,-0.66,11.183303967317446,10954.655
64,-0.09833333333333333,10.417352574964807,10918.893333333333
65,0.2733333333333333,10.64069406207278,10920.188333333334
66,0.47333333333333333,10.677201458818516,10978.283333333333
67,-1.385,10.98125226637621,10928.818333333333
68,-0.445,11.23395809059616,10833.695
69,0.6616666666666666,12.313411287997333,10822.75
70,0.10166666666666667,11.006329763903805,10903.846666666666
71,0.48833333333333334,9.934351262441552,10926.97
72,-0.24333333333333335,10.736232011974158,10955.505
73,0.42333333333333334,10.316923893177378,10946.008333333333
74,0.745,10.670301124474252,10983.793333333333
75,0.005,10.811433700587878,11035.196666666667
76,-0.18,10.41421076957718,10998.028333333334
77,-0.6333333333333333,10.984584313056995,10989.285
78,-0.16666666666666666,11.152810085275204,10978.531666666666
79,0.92,11.212015771433025,10939.281666666666
80,-0.14,11.17504685631352,11029.933333333332
81,0.7816666666666666,10.564335339216578,11049.656666666666
82,0.20333333333333334,10.335848041550124,11094.085
83,0.595,10.740795623949442,11153.181666666667
84,-0.49833333333333335,11.739899831304031,11116.94
85,-0.14833333333333334,10.77291431469039,11105.223333333333
86,-0.815,11.235690639527112,11058.286666666667
87,-0.555,11.615904576503489,10989.94
88,1.1966666666666668,10.076612324686756,11020.061666666666
89,0.725,11.535036420288893,11145.728333333333
90,0.023333333333333334,11.549636468915487,11152.096666666666
91,0.18833333333333332,11.13682150344317,11174.705
92,0.02666666666666667,11.220470224657713,11172.716666666667
93,0.07333333333333333,11.831931551371625,11211.1
94,0.295,11.391724171461584,11222.081666666667
95,0.2866666666666667,11.057669846324915,11259.221666666666
96,0.25,11.871982982345896,11270.535
97,-0.17333333333333334,11.17338073334401,11248.941666666668
98,-0.59,12.242063841129937,11232.483333333334
99,-0.023333333333333334,10.808973211883087,11184.653333333334
